Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context (4),Context (5),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Has anatomical identification [URI],Has anatomical identification [Label],Has anatomical identification [Source value],Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has Biological Taxonomy [Source value],Has fusion character (distal) [URI],Has fusion character (distal) [Label],Has fusion character (distal) [Source value],Has fusion character (proximal) [URI],Has fusion character (proximal) [Label],Has fusion character (proximal) [Source value],Has physiological sex determination [URI],Has physiological sex determination [Label],Has physiological sex determination [Source value],Taxon [Source],Element [Source],Side [Source],Proximal Fusion [Source],Distal Fusion [Source],Reference [Source],Year [Source],Retrieval Method [Source],Species [Source],Species Comment [Source],Part [Source],Size [Source],Age Data [Source],Retrieval % [Source],Volume [Source],Mesh Size [Source],Sex [Source],Weight [Source],Comments [Source],Fusion stages [Source],Number of Elements [Source],Sample No [Source],Age group [Source],Cutmarks [Source],Stratum [Source],Bd [Source],SD [Source],Bp [Source],Bp (unfused) [Source],GL [Source],GL (unfused) [Source],Dp (unfused) [Source],GB [Source],Bd (unfused) [Source],BFp [Source],Dl [Source],Dm [Source],Dp [Source],GB (unfused) [Source],GL1 [Source],GLm [Source]
http://opencontext.org/subjects/TESTSPA0000006477,Bone Ref# 2700,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Rib,http://eol.org/pages/2851411,Caprinae,Ovis/Capra,,,,,,,,,,Ovis/Capra,Rib,Right,,,2700,PB 95,Floatation,Unknown,Ovis/Capra,,2-5 cm,Adult,,,> 10 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006478,Bone Ref# 2701,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Rib,http://eol.org/pages/2851411,Caprinae,Ovis/Capra,,,,,,,,,,Ovis/Capra,Rib,NA,,,2701,PB 95,Floatation,Unknown,Ovis/Capra,Fragments,2-5 cm,,,,> 10 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006479,Bone Ref# 2702,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0000975,sternum,Sternum,http://eol.org/pages/2851411,Caprinae,Ovis/Capra,,,,,,,,,,Ovis/Capra,Sternum,NA,,,2702,PB 95,Floatation,Unknown,Ovis/Capra,Fragment,2-5 cm,Adult,,,> 10 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006534,Bone Ref# 2703,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0002412,vertebra,Vertebrae,http://eol.org/pages/2851411,Caprinae,Ovis/Capra,,,,,,,,,,Ovis/Capra,Vertebrae,NA,,,2703,PB 95,Floatation,Unknown,Ovis/Capra,,,,,,> 10 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006480,Bone Ref# 2705,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0002412,vertebra,Vertebrae,http://eol.org/pages/2851411,Caprinae,Ovis/Capra,,,,,,,,,,Ovis/Capra,Vertebrae,NA,,,2705,PB 95,Floatation,Unknown,Ovis/Capra,Fragments,2-5 cm,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006481,Bone Ref# 2706,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0001272,innominate bone,Innominate,http://eol.org/pages/2851411,Caprinae,Ovis/Capra,,,,,,,,,,Ovis/Capra,Innominate,Left,,,2706,PB 95,Floatation,Unknown,Ovis/Capra,Ischium,2-5 cm,Unfused,,,> 10 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006482,Bone Ref# 2707,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0003128,cranium,Cranium,http://eol.org/pages/2851411,Caprinae,Ovis/Capra,,,,,,,,,,Ovis/Capra,Cranium,NA,,,2707,PB 95,Floatation,Unknown,Ovis/Capra,Zygomatic Process,2-5 cm,Adult,,,> 10 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006192,Bone Ref# 2794,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0004300,distal phalanx,Distal Phalanx,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Distal Phalanx,NA,,,2794,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006136,Bone Ref# 2795,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0004300,distal phalanx,Distal Phalanx,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Distal Phalanx,NA,,,2795,PB 95,Floatation,Unknown,Ovis,,2-5 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/TESTSPA0000006193,Bone Ref# 2796,http://opencontext.org/projects/TESTPRJ0000000004,Pınarbaşı 1994: Animal Bones,Denise Carruthers,Turkey,Pınarbaşı,Site B,Stratum 5,Context BBH,http://opencontext.org/subjects/TESTSPA0000003444,37.49432,33.018551,8650,7950,http://purl.obolibrary.org/obo/UBERON_0004300,distal phalanx,Distal Phalanx,http://eol.org/pages/39510,Ovis,Ovis sp.,,,,,,,,,,Ovis sp.,Distal Phalanx,NA,,,2796,PB 95,Floatation,Unknown,Ovis,,<2 cm,Fused,,,< 5 mm,?,,,,,,,,,,,,,,,,,,,,,,,,
