Open Context URI,Item label,Project URI,Project name,Related person(s),Context (1),Context (2),Context (3),Context URI,Latitude (WGS84),Longitude (WGS84),Early (Cal. BP),Late (Cal. BP),Has Biological Taxonomy [URI],Has Biological Taxonomy [Label],Has Biological Taxonomy [Source value],Has anatomical identification [URI],Has anatomical identification [Label],Has anatomical identification [Source value],Has physiological sex determination [URI],Has physiological sex determination [Label],Has physiological sex determination [Source value],Has fusion character (distal) [URI],Has fusion character (distal) [Label],Has fusion character (distal) [Source value],Has fusion character (proximal) [URI],Has fusion character (proximal) [Label],Has fusion character (proximal) [Source value],Sorting Number [Source],Excavation Method [Source],Mammal [Source],Mollusk [Source],Nisp [Source],Weight [Source],Element [Source],Cranial Protion [Source],Mandibular Portion [Source],Vertebral Portion [Source],Stylopod [Source],Carpal/tarsal [Source],Phalanx [Source],Body Size [Source],Side [Source],Side (english) [Source],Refit? [Source],Sex [Source],Tooth Wear (grant) [Source],Payne (1973) Mandible Wear Stage [Source],Fusion Status [Source],Part Burned [Source],Burning- Brown [Source],Burning- Black [Source],Burning- Grey [Source],Chopping [Source],Cut Marks [Source],Carnivore Gnawing [Source],# Of Complete Bones [Source],# Of Fragments [Source],Proximal Present [Source],Proximal and Shaft Present [Source],Mid-shaft Present [Source],Shaft and Distal Present [Source],Distal Present [Source],Cranial Present [Source],Caudal Present [Source],Medial Present [Source],Lateral Present [Source],Dorsal Present [Source],Dorsal and Middle Present [Source],Middle and Ventral Present [Source],Ventral Present [Source],Scapula Measurement Klc [Source],Scapula Measurement Glp [Source],Lg [Source],Bg [Source],Gl [Source],Gll [Source],Glpe [Source],Bp [Source],Gb [Source],Dp [Source],Tc [Source],Sd [Source],Cd [Source],Bd [Source],Humerus Height Of Trochlea [Source],Humerus Breadth Of Trochlea [Source],Dd [Source],Ulna Measurement Tpa [Source],Ulna Measurement Kto [Source],Bpc [Source],Cox_la [Source],Cox_kb [Source],Cox_kh [Source],Cox_ku [Source],Height Mandible In Front Of M1 [Source],Length Praemolar Row [Source],Length Molar Row [Source],Gldp4 [Source],Gbdp4 [Source],Glm1 [Source],Gbm1 [Source],Gbm2 [Source],Glm3 [Source],Gbm3 [Source],Circumfer_horncore_bas [Source],Oroabo_horncore [Source],Dorsobasal_horncore [Source],Moll_gl [Source],Moll_gh [Source],Moll_gb [Source],Moll_breadth Mouth [Source],Moll_heigth Mouth [Source]
http://opencontext.org/subjects/D9DDD619-9AF4-42CC-1308-CB121EBBBACA,Bone 864,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0013588,fused metatarsal bones 3 and 4,Metatarsus,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0058,Distal epiphysis unfused,dE_uf,,,,0.06075,hand collected,Ovis/Capra,,1,1.5,Metatarsus,,,,,,,,sin,Left,,,,,dE_uf,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/A61E9921-C075-4E83-E377-5E737E05CF46,Bone 865,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0004302,proximal phalanx,Phalanx prox.,,,,,,,http://opencontext.org/vocabularies/open-context-zooarch/zoo-0070,Proximal epiphysis unfused,pE_uf,0.06076,hand collected,Ovis/Capra,,1,1.5,Phalanx prox.,,,,,,P.prox.post.,,,,,,,,pE_uf,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,25.96,8.46,,11.17,,6.48,,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/117DF6EB-D0B9-4F44-444D-3F10B1B30E26,Bone 866,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,0.06077,hand collected,Ovis/Capra,,1,10.5,Costa,,,C.vera,,,,,dext,Right,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/FC616722-32F6-48A7-685F-235372F00F98,Bone 867,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,0.06078,hand collected,Ovis/Capra,,1,2,Costa,,,C.vera,,,,,sin,Left,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/CC88AC22-26F1-4709-ED17-8425F0D728AF,Bone 868,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,0.06079,hand collected,Ovis/Capra,,1,2,Costa,,,C.vera,,,,,sin,Left,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/B078686D-05A3-4C6A-5FFF-3798712C367C,Bone 869,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,0.0608,hand collected,Ovis/Capra,,1,2.5,Costa,,,C.spuria,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/5E8E4ACD-66B6-46E0-62EE-7CDAF2897FCE,Bone 870,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002228,rib,Costa,,,,,,,,,,0.06081,hand collected,Ovis/Capra,,1,3,Costa,,,C.spuria,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/C40FAC83-D050-4D03-0007-3562E18C2504,Bone 871,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002413,cervical vertebra,Vert. cerv.,,,,,,,,,,0.06082,hand collected,Ovis/Capra,,1,19.5,Vert. cerv.,,,Atlas,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/2F130607-2F2B-4733-54B1-4DFB09D95C2E,Bone 872,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra,http://purl.obolibrary.org/obo/UBERON_0002413,cervical vertebra,Vert. cerv.,,,,,,,,,,0.06083,hand collected,Ovis/Capra,,1,9,Vert. cerv.,,,Epistropheus,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opencontext.org/subjects/DBC093E0-EA9D-4FB2-1AE2-BD8565031531,Bone 873,http://opencontext.org/projects/BC90D462-6639-4087-8527-6BB9E528E07D,Çukuriçi Höyük Zooarchaeology,Alfred Galik,Turkey,Çukuriçi Höyük,Phase VIII,http://opencontext.org/subjects/372B72B1-2B6B-4C39-5EF6-CD10C7E74B28,37.929167,27.359444,8150,7950,http://eol.org/pages/4445650,Sus scrofa domesticus,Sus scrofa f. dom.,http://purl.obolibrary.org/obo/UBERON_0003267,tooth of upper jaw,dens sup.,,,,,,,,,,0.06084,hand collected,Sus scrofa f. dom.,,1,2,dens sup.,p3,,,,,,,dext,Right,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
