Project,Latitude,Longitude,Site,Start BCE,End BCE,Specimen Count,EOL URI,EOL Taxa Label,Analyst Taxanomic Designation (Source data)
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,2,http://eol.org/pages/328607,"Canis lupus Linnaeus, 1758",Canis lupus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,2,http://eol.org/pages/42171,Anoura,Anoura
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,2,http://eol.org/pages/7511,Ranidae,Ranid
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,1,http://eol.org/pages/111244,Arvicola,Arvicolid
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,1,http://eol.org/pages/1179512,Cricetus cricetus,Cricetus cricetus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,1,http://eol.org/pages/328603,Lynx lynx,Lynx lynx
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,19790,12900,1,http://eol.org/pages/8696,Hystricidae,Hystricid
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,267,http://eol.org/pages/32609438,Sheep/goat,Ovis/Capra
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,199,http://eol.org/pages/313992,"Dama dama (Linnaeus, 1758)",Dama dama
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,122,http://eol.org/pages/1642,Mammalia,Medium artiodactyl; Small mammal (rabbit size)
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,50,http://eol.org/pages/11021638,Ovis orientalis,Ovis orientalis
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,38,http://eol.org/pages/4447460,Capra aegagrus,Capra aegagrus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,16,http://eol.org/pages/15610,Capreolus,Capreolus capreolus
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,16,http://eol.org/pages/695,Aves,Large bird; Medium bird; Small bird
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,1,http://eol.org/pages/1055221,Testudo graeca,Testudo graeca
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,1,http://eol.org/pages/328609,"Vulpes vulpes (Linnaeus, 1758)",Vulpes vulpes
Zooarchaeology of Öküzini Cave,37.08335,30.579436,Öküzini Cave,14450,14050,1,http://eol.org/pages/328649,"Cervus elaphus Linnaeus, 1758",Cervus elaphus
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,52,[No EOL URI assigned],,
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,44,http://eol.org/pages/327955,"Homo sapiens Linnaeus, 1758",Homo; sapiens
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,36,http://eol.org/pages/19076,Vulpes,vulpes
Pınarbaşı 1994: Animal Bones,37.493962,33.016928,Pınarbaşı,14450,9450,36,http://eol.org/pages/695,Aves,Aves
